Freq.	V(vout)
2.00000000000000e+001	1.19054489600239e+000,9.57198688964127e-001
2.09425709610180e+001	1.21170282746607e+000,1.00671847024933e+000
2.19295639228637e+001	1.23551610487630e+000,1.05918331669818e+000
2.29630724299377e+001	1.26238274433126e+000,1.11480603360906e+000
2.40452886923483e+001	1.29277373304649e+000,1.17381355872203e+000
2.51785082358834e+001	1.32724901328038e+000,1.23644525149575e+000
2.63651347711282e+001	1.36647743821959e+000,1.30294938508814e+000
2.76076852920577e+001	1.41126174446254e+000,1.37357684600283e+000
2.89087954149186e+001	1.46256983681815e+000,1.44857053479063e+000
3.02712249687242e+001	1.52157395509130e+000,1.52814818395927e+000
3.16978638492223e+001	1.58969954754866e+000,1.61247512973569e+000
3.31917381487512e+001	1.66868580502342e+000,1.70162178406463e+000
3.47560165749875e+001	1.76065959369589e+000,1.79549785080962e+000
3.63940171721997e+001	1.86822350053990e+000,1.89375129178006e+000
3.81092143592650e+001	1.99455596531334e+000,1.99561413635820e+000
3.99052462993776e+001	2.14351526775863e+000,2.09966889803036e+000
4.17859226170808e+001	2.31972622479952e+000,2.20349847507896e+000
4.37552324789911e+001	2.52860312534904e+000,2.30317040362570e+000
4.58173530553555e+001	2.77621547147282e+000,2.39249911092338e+000
4.79766583803899e+001	3.06882213774952e+000,2.46204419468995e+000
5.02377286301917e+001	3.41177572477318e+000,2.49787849423592e+000
5.26053598379077e+001	3.80735244853713e+000,2.48037558024953e+000
5.50845740667634e+001	4.25101135266596e+000,2.38373852185032e+000
5.76806300625322e+001	4.72596504280227e+000,2.17777604252478e+000
6.03990344080404e+001	5.19735250451777e+000,1.83417001019552e+000
6.32455532033677e+001	5.61006997861841e+000,1.33878896041278e+000
6.62262242965183e+001	5.89670662653225e+000,7.07298230430752e-001
6.93473700905065e+001	5.99887539610791e+000,-6.05947039002785e-003
7.26156109540204e+001	5.89334064912691e+000,-7.18690882327792e-001
7.60378792641124e+001	5.60407922638842e+000,-1.34827042664983e+000
7.96214341106996e+001	5.18984971074678e+000,-1.84117092006636e+000
8.33738766940672e+001	4.71800011028245e+000,-2.18232731086755e+000
8.73031664480334e+001	4.24332876429253e+000,-2.38623257023573e+000
9.14176379229752e+001	3.80036306399415e+000,-2.48131963899505e+000
9.57260184645279e+001	3.40563856063818e+000,-2.49774313097441e+000
1.00237446725455e+002	3.06354359235411e+000,-2.46120405958936e+000
1.04961492049955e+002	2.77172547716327e+000,-2.39122770963149e+000
1.09908174771525e+002	2.52480245595507e+000,-2.30165684703388e+000
1.15087987467432e+002	2.31651191542915e+000,-2.20186870373436e+000
1.20511917214872e+002	2.14079243248125e+000,-2.09800429776078e+000
1.26191468896039e+002	1.99224212202535e+000,-1.99396575712308e+000
1.32138689601520e+002	1.86624916071014e+000,-1.89214998867101e+000
1.38366194183788e+002	1.75896720253513e+000,-1.79396124961931e+000
1.44887192014998e+002	1.66722810497595e+000,-1.70015896324912e+000
1.51715515005837e+002	1.58843787662408e+000,-1.61108972701913e+000
1.58865646944857e+002	1.52047669694002e+000,-1.52684044087073e+000
1.66352754220535e+002	1.46161109477180e+000,-1.44733863377769e+000
1.74192717991217e+002	1.41042024443595e+000,-1.37241777943564e+000
1.82402167871183e+002	1.36573563749334e+000,-1.30185951587919e+000
1.90998517204288e+002	1.32659238410997e+000,-1.23542067081871e+000
2.00000000000001e+002	1.29219018930962e+000,-1.17285031019856e+000
2.09425709610181e+002	1.26186218378643e+000,-1.11390025034780e+000
2.19295639228638e+002	1.23505004340404e+000,-1.05833130109386e+000
2.29630724299377e+002	1.21128410628080e+000,-1.00591673695453e+000
2.40452886923484e+002	1.19016744681903e+000,-9.56443983981444e-001
2.51785082358834e+002	1.17136308004046e+000,-9.09715175199381e-001
2.63651347711282e+002	1.15458364383085e+000,-8.65547004723339e-001
2.76076852920578e+002	1.13958304634070e+000,-8.23770163584413e-001
2.89087954149187e+002	1.12614967625268e+000,-7.84228542281198e-001
3.02712249687243e+002	1.11410085976422e+000,-7.46778320011799e-001
3.16978638492224e+002	1.10327831577524e+000,-7.11287016678398e-001
3.31917381487514e+002	1.09354441334472e+000,-6.77632555751188e-001
3.47560165749877e+002	1.08477907636552e+000,-6.45702365840407e-001
3.63940171721998e+002	1.07687721264301e+000,-6.15392537358275e-001
3.81092143592651e+002	1.06974656946022e+000,-5.86607041754178e-001
3.99052462993778e+002	1.06330593743678e+000,-5.59257015684125e-001
4.17859226170810e+002	1.05748364007286e+000,-5.33260109430557e-001
4.37552324789913e+002	1.05221625835384e+000,-5.08539896607545e-001
4.58173530553557e+002	1.04744754976036e+000,-4.85025341287837e-001
4.79766583803901e+002	1.04312752851092e+000,-4.62650318098895e-001
5.02377286301919e+002	1.03921168012403e+000,-4.41353180609440e-001
5.26053598379079e+002	1.03566028829755e+000,-4.21076373593678e-001
5.50845740667636e+002	1.03243785600534e+000,-4.01766084632982e-001
5.76806300625324e+002	1.02951260598502e+000,-3.83371931155125e-001
6.03990344080407e+002	1.02685604831504e+000,-3.65846679167589e-001
6.32455532033679e+002	1.02444260489574e+000,-3.49145990157922e-001
6.62262242965186e+002	1.02224928238184e+000,-3.33228193261675e-001
6.93473700905067e+002	1.02025538646649e+000,-3.18054079762078e-001
7.26156109540207e+002	1.01844227163519e+000,-3.03586717622238e-001
7.60378792641127e+002	1.01679312136594e+000,-2.89791283759769e-001
7.96214341106999e+002	1.01529275461940e+000,-2.76634912053851e-001
8.33738766940676e+002	1.01392745505177e+000,-2.64086555545873e-001
8.73031664480337e+002	1.01268481993384e+000,-2.52116861063769e-001
9.14176379229756e+002	1.01155362623149e+000,-2.40698055107714e-001
9.57260184645283e+002	1.01052371164269e+000,-2.29803839676606e-001
1.00237446725455e+003	1.00958586872525e+000,-2.19409297022139e-001
1.04961492049955e+003	1.00873175050219e+000,-2.09490802390064e-001
1.09908174771526e+003	1.00795378616181e+000,-2.00025943933724e-001
1.15087987467432e+003	1.00724510564612e+000,-1.90993449006783e-001
1.20511917214872e+003	1.00659947209840e+000,-1.82373116276722e-001
1.26191468896040e+003	1.00601122126409e+000,-1.74145752987897e-001
1.32138689601520e+003	1.00547520705641e+000,-1.66293116988527e-001
1.38366194183788e+003	1.00498675260462e+000,-1.58797862923166e-001
1.44887192014999e+003	1.00454160618233e+000,-1.51643492315998e-001
1.51715515005838e+003	1.00413590148713e+000,-1.44814307127490e-001
1.58865646944857e+003	1.00376612180969e+000,-1.38295366486091e-001
1.66352754220535e+003	1.00342906767935e+000,-1.32072446296661e-001
1.74192717991217e+003	1.00312182763008e+000,-1.26132001517362e-001
1.82402167871183e+003	1.00284175176000e+000,-1.20461130816693e-001
1.90998517204289e+003	1.00258642780540e+000,-1.15047543473338e-001
2.00000000000002e+003	1.00235365947407e+000,-1.09879528304191e-001
2.09425709610182e+003	1.00214144681155e+000,-1.04945924455933e-001
2.19295639228639e+003	1.00194796840367e+000,-1.00236093939202e-001
2.29630724299378e+003	1.00177156523222e+000,-9.57398957534679e-002
2.40452886923484e+003	1.00161072602438e+000,-9.14476615016611e-002
2.51785082358835e+003	1.00146407395232e+000,-8.73501723658592e-002
2.63651347711284e+003	1.00133035455414e+000,-8.34386373676352e-002
2.76076852920579e+003	1.00120842475849e+000,-7.97046728221176e-002
2.89087954149188e+003	1.00109724291104e+000,-7.61402828911741e-002
3.02712249687244e+003	1.00099585970688e+000,-7.27378411829704e-002
3.16978638492225e+003	1.00090340994453e+000,-6.94900733110444e-002
3.31917381487515e+003	1.00081910502617e+000,-6.63900403774278e-002
3.47560165749878e+003	1.00074222613357e+000,-6.34311232870459e-002
3.63940171722000e+003	1.00067211801894e+000,-6.06070078915764e-002
3.81092143592653e+003	1.00060818335288e+000,-5.79116708581751e-002
3.99052462993779e+003	1.00054987757951e+000,-5.53393662730741e-002
4.17859226170812e+003	1.00049670423189e+000,-5.28846128945588e-002
4.37552324789914e+003	1.00044821066606e+000,-5.05421820580523e-002
4.58173530553559e+003	1.00040398417597e+000,-4.83070861614578e-002
4.79766583803902e+003	1.00036364845433e+000,-4.61745677230283e-002
5.02377286301921e+003	1.00032686036864e+000,-4.41400889803845e-002
5.26053598379081e+003	1.00029330702380e+000,-4.21993219806609e-002
5.50845740667638e+003	1.00026270308549e+000,-4.03481391688274e-002
5.76806300625326e+003	1.00023478834087e+000,-3.85826044187070e-002
6.03990344080409e+003	1.00020932547569e+000,-3.68989645032798e-002
6.32455532033682e+003	1.00018609804777e+000,-3.52936409747144e-002
6.62262242965188e+003	1.00016490863993e+000,-3.37632224368463e-002
6.93473700905070e+003	1.00014557717605e+000,-3.23044571896389e-002
7.26156109540210e+003	1.00012793938552e+000,-3.09142462235741e-002
7.60378792641130e+003	1.00011184540315e+000,-2.95896365589670e-002
7.96214341107002e+003	1.00009715849235e+000,-2.83278149015587e-002
8.33738766940679e+003	1.00008375388038e+000,-2.71261016048356e-002
8.73031664480340e+003	1.00007151769602e+000,-2.59819449272527e-002
9.14176379229759e+003	1.00006034600012e+000,-2.48929155670794e-002
9.57260184645286e+003	1.00005014390111e+000,-2.38567014619093e-002
1.00237446725455e+004	1.00004082474753e+000,-2.28711028471480e-002
1.04961492049956e+004	1.00003230939095e+000,-2.19340275542663e-002
1.09908174771526e+004	1.00002452551274e+000,-2.10434865424531e-002
1.15087987467433e+004	1.00001740700915e+000,-2.01975896532076e-002
1.20511917214873e+004	1.00001089342917e+000,-1.93945415791177e-002
1.26191468896040e+004	1.00000492946071e+000,-1.86326380340915e-002
1.32138689601521e+004	9.99999464460387e-001,-1.79102621227685e-002
1.38366194183789e+004	9.99994452023103e-001,-1.72258808943297e-002
1.44887192015000e+004	9.99989849587704e-001,-1.65780420777537e-002
1.51715515005838e+004	9.99985618075311e-001,-1.59653709903296e-002
1.58865646944858e+004	9.99981721557279e-001,-1.53865676115856e-002
1.66352754220536e+004	9.99978126949963e-001,-1.48404038155832e-002
1.74192717991218e+004	9.99974803733662e-001,-1.43257207606666e-002
1.82402167871184e+004	9.99971723693368e-001,-1.38414264223456e-002
1.90998517204289e+004	9.99968860679109e-001,-1.33864932714687e-002
2.00000000000000e+004	9.99966190383843e-001,-1.29599560908105e-002
