Freq.	V(vout)
2.00000000000000e+001	1.30360820509668e+000,4.24760947826144e-002
2.09425709610180e+001	1.30549426263315e+000,3.52031035181426e-002
2.19295639228637e+001	1.30701925643370e+000,2.78793965007935e-002
2.29630724299377e+001	1.30818512213591e+000,2.05167105777946e-002
2.40452886923483e+001	1.30899348943785e+000,1.31260133566684e-002
2.51785082358834e+001	1.30944556517352e+000,5.71769378075260e-003
2.63651347711282e+001	1.30954205185117e+000,-1.69823500618804e-003
2.76076852920577e+001	1.30928310194577e+000,-9.11192495914293e-003
2.89087954149186e+001	1.30866830791638e+000,-1.65134790331649e-002
3.02712249687242e+001	1.30769672864699e+000,-2.38927381760732e-002
3.16978638492223e+001	1.30636695151043e+000,-3.12390736253292e-002
3.31917381487512e+001	1.30467719004082e+000,-3.85411889874376e-002
3.47560165749875e+001	1.30262541677803e+000,-4.57869370693516e-002
3.63940171721997e+001	1.30020952975610e+000,-5.29631560966664e-002
3.81092143592650e+001	1.29742755090410e+000,-6.00555306373280e-002
3.99052462993776e+001	1.29427785515145e+000,-6.70484830698115e-002
4.17859226170808e+001	1.29075942533382e+000,-7.39251008490101e-002
4.37552324789911e+001	1.28687212958175e+000,-8.06671054888284e-002
4.58173530553555e+001	1.28261701548763e+000,-8.72548687984818e-002
4.79766583803899e+001	1.27799661330937e+000,-9.36674812473939e-002
5.02377286301917e+001	1.27301524041104e+000,-9.98828764568316e-002
5.26053598379077e+001	1.26767929668131e+000,-1.05878014888731e-001
5.50845740667634e+001	1.26199754007393e+000,-1.11629127561173e-001
5.76806300625322e+001	1.25598132984305e+000,-1.17112018604530e-001
6.03990344080404e+001	1.24964482554060e+000,-1.22302423194924e-001
6.32455532033677e+001	1.24300512904301e+000,-1.27176414178393e-001
6.62262242965183e+001	1.23608235832944e+000,-1.31710847716022e-001
6.93473700905065e+001	1.22889964330534e+000,-1.35883836053836e-001
7.26156109540204e+001	1.22148303586437e+000,-1.39675231526780e-001
7.60378792641124e+001	1.21386133076157e+000,-1.43067105520458e-001
7.96214341106996e+001	1.20606579637388e+000,-1.46044203262136e-001
