Freq.	V(vout)
2.00000000000000e+001	1.43560912713292e+000,8.22302526059502e-001
2.09425709610180e+001	1.47856268823671e+000,8.49881783666206e-001
2.19295639228637e+001	1.52564215679013e+000,8.76702802379441e-001
2.29630724299377e+001	1.57717371689796e+000,9.02338201627572e-001
2.40452886923483e+001	1.63347854759195e+000,9.26268552884721e-001
2.51785082358834e+001	1.69485851058562e+000,9.47867878468969e-001
2.63651347711282e+001	1.76157621528546e+000,9.66388910946989e-001
2.76076852920577e+001	1.83382806956070e+000,9.80949378317746e-001
2.89087954149186e+001	1.91170891176444e+000,9.90521324209112e-001
3.02712249687242e+001	1.99516706161376e+000,9.93926445578836e-001
3.16978638492223e+001	2.08394930156646e+000,9.89841604339745e-001
3.31917381487512e+001	2.17753663705662e+000,9.76819919247646e-001
3.47560165749875e+001	2.27507392480038e+000,9.53333882436709e-001
3.63940171721997e+001	2.37529977041413e+000,9.17847256303503e-001
3.81092143592650e+001	2.47648739498982e+000,8.68921323090035e-001
3.99052462993776e+001	2.57641188004345e+000,8.05357436962368e-001
4.17859226170808e+001	2.67236298231001e+000,7.26370966323884e-001
4.37552324789911e+001	2.76122339908034e+000,6.31781518000935e-001
4.58173530553555e+001	2.83962732313375e+000,5.22192225689651e-001
4.79766583803899e+001	2.90420138307672e+000,3.99120363115799e-001
5.02377286301917e+001	2.95187002974853e+000,2.65037892197142e-001
5.26053598379077e+001	2.98018447154027e+000,1.23288975904870e-001
5.50845740667634e+001	2.98761658903095e+000,-2.21261254191631e-002
5.76806300625322e+001	2.97375602020475e+000,-1.66879297685227e-001
6.03990344080404e+001	2.93936482658319e+000,-3.06702287292865e-001
6.32455532033677e+001	2.88627656237804e+000,-4.37763393216301e-001
6.62262242965183e+001	2.81716389987560e+000,-5.56966009156895e-001
6.93473700905065e+001	2.73522735886218e+000,-6.62124930553546e-001
7.26156109540204e+001	2.64386792735604e+000,-7.52009151801758e-001
7.60378792641124e+001	2.54639792310627e+000,-8.26269876008155e-001
7.96214341106996e+001	2.44582416039339e+000,-8.85290749261912e-001
8.33738766940672e+001	2.34471469445270e+000,-9.30001671535138e-001
8.73031664480334e+001	2.24514233016089e+000,-9.61691196214815e-001
9.14176379229752e+001	2.14868777487573e+000,-9.81841030195937e-001
9.57260184645279e+001	2.05648228066275e+000,-9.91994348289154e-001
1.00237446725455e+002	1.96927151694399e+000,-9.93660384439863e-001
1.04961492049955e+002	1.88748667277105e+000,-9.88251939153997e-001
1.09908174771525e+002	1.81131347339397e+000,-9.77049658875330e-001
1.15087987467432e+002	1.74075382942101e+000,-9.61186308020842e-001
1.20511917214872e+002	1.67567781682737e+000,-9.41644855658524e-001
