Freq.,V(vout)
20,"1.19051621385734e+000,9.57204877333425e-001"
20.94257096,"1.21167100504681e+000,1.00672577822115e+000"
21.92956392,"1.23548076378938e+000,1.05919196945615e+000"
22.96307243,"1.26234345488774e+000,1.11481630792332e+000"
24.04528869,"1.29273000718968e+000,1.17382579639161e+000"
25.17850824,"1.32720029639313e+000,1.23645987690543e+000"
26.36513477,"1.36642310018942e+000,1.30296692795673e+000"
27.60768529,"1.41120107097959e+000,1.37359797137833e+000"
28.90879541,"1.46250202058582e+000,1.44859608245315e+000"
30.27122497,"1.52149808964168e+000,1.52817922053509e+000"
31.69786385,"1.58961462508887e+000,1.61251301784796e+000"
33.19173815,"1.66859072391526e+000,1.70166827414505e+000"
34.75601657,"1.76055318256840e+000,1.79555520282884e+000"
36.39401717,"1.86810457275715e+000,1.89382243581713e+000"
38.10921436,"1.99442342566908e+000,1.99570288108953e+000"
39.9052463,"2.14336830745742e+000,2.09978019544360e+000"
41.78592262,"2.31956466313568e+000,2.20363874016766e+000"
43.75523248,"2.52842798734491e+000,2.30334786485764e+000"
45.81735306,"2.77602993127948e+000,2.39272411257116e+000"
47.97665838,"3.06863298964163e+000,2.46232925806544e+000"
50.23772863,"3.41159552054887e+000,2.49823773549724e+000"
52.60535984,"3.80720223605749e+000,2.48082275725028e+000"
55.08457407,"4.25092332859640e+000,2.38428264894173e+000"
57.68063006,"4.72598314208153e+000,2.17841363957996e+000"
60.39903441,"5.19752725187573e+000,1.83487471081753e+000"
63.2455532,"5.61044381334796e+000,1.33950342937896e+000"
66.2262243,"5.89729125407757e+000,7.07938158404431e-001"
69.34737009,"5.99963387103344e+000,-5.58205883862684e-003"
72.61561095,"5.89419193261710e+000,-7.18433563313738e-001"
76.03787926,"5.60492763316142e+000,-1.34823918202164e+000"
79.62143411,"5.19061871977465e+000,-1.84132663403580e+000"
83.37387669,"4.71864886034746e+000,-2.18261023572995e+000"
87.30316645,"4.24384867231856e+000,-2.38658521066100e+000"
91.41763792,"3.80076543128962e+000,-2.48169823353237e+000"
95.72601846,"3.40594296104246e+000,-2.49811929982388e+000"
100.2374467,"3.06377058989165e+000,-2.46156177877856e+000"
104.961492,"2.77189322625054e+000,-2.39155935391318e+000"
109.9081748,"2.52492567458830e+000,-2.30195991091023e+000"
115.0879875,"2.31660199756880e+000,-2.20214353302435e+000"
120.5119172,"2.14085797684675e+000,-2.09825266960979e+000"
126.1914689,"1.99228953037527e+000,-1.99419005000527e+000"
132.1386896,"1.86628316876158e+000,-1.89235272505903e+000"
138.3661942,"1.75899130614562e+000,-1.79414486058522e+000"
144.887192,"1.66724488604814e+000,-1.70032568000170e+000"
151.715515,"1.58844924574078e+000,-1.61124154215213e+000"
158.8656469,"1.52048407169787e+000,-1.52697910606366e+000"
166.3527542,"1.46161553001366e+000,-1.44746567503898e+000"
174.192718,"1.41042252719126e+000,-1.37253452002915e+000"
182.4021679,"1.36573635640161e+000,-1.30196710090968e+000"
190.9985172,"1.32659198009424e+000,-1.23552009100240e+000"
200,"1.29218899294574e+000,-1.17294242364733e+000"
209.4257096,"1.26186044283531e+000,-1.11398580170498e+000"
219.2956392,"1.23504794332621e+000,-1.05841093816707e+000"
229.6307243,"1.21128178541767e+000,-1.00599102491833e+000"
240.4528869,"1.19016500786347e+000,-9.56513417477254e-001"
251.7850824,"1.17136059863151e+000,-9.09780188558216e-001"
263.6513477,"1.15458117505113e+000,-8.65607980646018e-001"
276.0768529,"1.13958062964957e+000,-8.23827440377499e-001"
289.0879541,"1.12614733924238e+000,-7.84282420161617e-001"
302.7122497,"1.11409862103756e+000,-7.46829066200007e-001"
316.9786385,"1.10327618714837e+000,-7.11334869985876e-001"
