Freq.	V(vout)
2.00000000000000e+001	1.19080301730719e+000,9.57142916173325e-001
2.09425709610180e+001	1.21198920640745e+000,1.00665260811002e+000
2.19295639228637e+001	1.23583414635505e+000,1.05910533578572e+000
2.29630724299377e+001	1.26273631323420e+000,1.11471344017627e+000
2.40452886923483e+001	1.29316721993382e+000,1.17370327309254e+000
2.51785082358834e+001	1.32768740736356e+000,1.23631345031390e+000
2.63651347711282e+001	1.36696640585433e+000,1.30279129567134e+000
2.76076852920577e+001	1.41180770998471e+000,1.37338647694196e+000
2.89087954149186e+001	1.46318005819921e+000,1.44834032097060e+000
3.02712249687242e+001	1.52225658179668e+000,1.52786851729616e+000
3.16978638492223e+001	1.59046363641392e+000,1.61213373672581e+000
3.31917381487512e+001	1.66954125351913e+000,1.70120289930492e+000
3.47560165749875e+001	1.76161691959715e+000,1.79498112152214e+000
3.63940171721997e+001	1.86929334927117e+000,1.89311033457125e+000
3.81092143592650e+001	1.99574814646621e+000,1.99481466077123e+000
3.99052462993776e+001	2.14483699420816e+000,2.09866632866033e+000
4.17859226170808e+001	2.32117903229664e+000,2.20223508121126e+000
4.37552324789911e+001	2.53017766543780e+000,2.30157215720101e+000
4.58173530553555e+001	2.77788301605324e+000,2.39047298821242e+000
4.79766583803899e+001	3.07052134144760e+000,2.45947766073368e+000
5.02377286301917e+001	3.41339341059211e+000,2.49464479733433e+000
5.26053598379077e+001	3.80869903309213e+000,2.47635139648628e+000
5.50845740667634e+001	4.25179712011595e+000,2.37884346617648e+000
5.76806300625322e+001	4.72579509021307e+000,2.17204236418911e+000
6.03990344080404e+001	5.19577334103815e+000,1.82783580603427e+000
6.32455532033677e+001	5.60670160331938e+000,1.33237028663279e+000
6.62262242965183e+001	5.89144571949146e+000,7.01552506747248e-001
6.93473700905065e+001	5.99205536302179e+000,-1.03431537936558e-002
7.26156109540204e+001	5.88568978427793e+000,-7.20997148535389e-001
7.60378792641124e+001	5.59645620911033e+000,-1.34854689919302e+000
7.96214341106996e+001	5.18294071451965e+000,-1.83976932397491e+000
8.33738766940672e+001	4.71217135839834e+000,-2.17978399147250e+000
8.73031664480334e+001	4.23865706486686e+000,-2.38306346801983e+000
9.14176379229752e+001	3.79674694535788e+000,-2.47791746933217e+000
9.57260184645279e+001	3.40290235426801e+000,-2.49436264010001e+000
1.00237446725455e+002	3.06150272362720e+000,-2.45798914576881e+000
1.04961492049955e+002	2.77021696473821e+000,-2.38824689818284e+000
1.09908174771525e+002	2.52369413753331e+000,-2.29893269603053e+000
1.15087987467432e+002	2.31570145370642e+000,-2.19939815823454e+000
1.20511917214872e+002	2.14020257865923e+000,-2.09577143491333e+000
1.26191468896039e+002	1.99181535160460e+000,-1.99194924048061e+000
1.32138689601520e+002	1.86594291191432e+000,-1.89032717840746e+000
1.38366194183788e+002	1.75875005070702e+000,-1.79231031875679e+000
1.44887192014998e+002	1.66707683719869e+000,-1.69865987407684e+000
1.51715515005837e+002	1.58833531262280e+000,-1.60972458146716e+000
1.58865646944857e+002	1.52041008745800e+000,-1.52559350278898e+000
1.66352754220535e+002	1.46157095151648e+000,-1.44619619171135e+000
1.74192717991217e+002	1.41039948672915e+000,-1.37136794298567e+000
1.82402167871183e+002	1.36572896918005e+000,-1.30089199454233e+000
1.90998517204288e+002	1.32659583714849e+000,-1.23452656034351e+000
2.00000000000001e+002	1.29220078827348e+000,-1.17202189781528e+000
2.09425709610181e+002	1.26187769802345e+000,-1.11313084255380e+000
2.19295639228638e+002	1.23506880315108e+000,-1.05761507464922e+000
2.29630724299377e+002	1.21130486544644e+000,-1.00524861112353e+000
2.40452886923484e+002	1.19018928022524e+000,-9.55819511960726e-001
2.51785082358834e+002	1.17138530604643e+000,-9.09130452164391e-001
2.63651347711282e+002	1.15460576582336e+000,-8.64998590026516e-001
2.76076852920578e+002	1.13960470835809e+000,-8.23255015104223e-001
2.89087954149187e+002	1.12617062914615e+000,-7.83743960899301e-001
3.02712249687243e+002	1.11412093536455e+000,-7.46321902588534e-001
3.16978638492224e+002	1.10329740713860e+000,-7.10856616329693e-001
3.31917381487514e+002	1.09356245952040e+000,-6.77226247906219e-001
3.47560165749877e+002	1.08479605076082e+000,-6.45318419581599e-001
3.63940171721998e+002	1.07689311403465e+000,-6.15029390824930e-001
3.81092143592651e+002	1.06976141508949e+000,-5.86263281213178e-001
3.99052462993778e+002	1.06331975772628e+000,-5.58931357500114e-001
4.17859226170810e+002	1.05749647454286e+000,-5.32951384662738e-001
4.37552324789913e+002	1.05222815252910e+000,-5.08247037687397e-001
4.58173530553557e+002	1.04745855279998e+000,-4.84747370534024e-001
4.79766583803901e+002	1.04313769143027e+000,-4.62386337771022e-001
5.02377286301919e+002	1.03922105445599e+000,-4.41102364271501e-001
5.26053598379079e+002	1.03566892510435e+000,-4.20837958587072e-001
5.50845740667636e+002	1.03244580516366e+000,-4.01539365560893e-001
5.76806300625324e+002	1.02951991567761e+000,-3.83156254109053e-001
6.03990344080407e+002	1.02686276468330e+000,-3.65641436743317e-001
6.32455532033679e+002	1.02444877182234e+000,-3.48950617008086e-001
6.62262242965186e+002	1.02225494135791e+000,-3.33042162204947e-001
6.93473700905067e+002	1.02026057654098e+000,-3.17876898361646e-001
7.26156109540207e+002	1.01844702941003e+000,-3.03417925129907e-001
7.60378792641127e+002	1.01679748103766e+000,-2.89630448403841e-001
7.96214341106999e+002	1.01529674804533e+000,-2.76481628652618e-001
8.33738766940676e+002	1.01393111183643e+000,-2.63940443330284e-001
8.73031664480337e+002	1.01268816753191e+000,-2.51977561787498e-001
9.14176379229756e+002	1.01155669005584e+000,-2.40565231288201e-001
9.57260184645283e+002	1.01052651517898e+000,-2.29677173065284e-001
1.00237446725455e+003	1.00958843364765e+000,-2.19288487198355e-001
1.04961492049955e+003	1.00873409679036e+000,-2.09375565502341e-001
1.09908174771526e+003	1.00795593221005e+000,-1.99916011548339e-001
1.15087987467432e+003	1.00724706837445e+000,-1.90888567063666e-001
1.20511917214872e+003	1.00660126705861e+000,-1.82273044147223e-001
1.26191468896040e+003	1.00601286273763e+000,-1.74050262611672e-001
1.32138689601520e+003	1.00547670815013e+000,-1.66201992073184e-001
1.38366194183788e+003	1.00498812533988e+000,-1.58710898215759e-001
1.44887192014999e+003	1.00454286157918e+000,-1.51560492950011e-001
1.51715515005838e+003	1.00413704964245e+000,-1.44735087991648e-001
1.58865646944857e+003	1.00376717197020e+000,-1.38219751661381e-001
