Freq.,V(vout)
20,"1.43560912713292e+000,8.22302526059502e-001"
20.94257096,"1.47856268823671e+000,8.49881783666206e-001"
21.92956392,"1.52564215679013e+000,8.76702802379441e-001"
22.96307243,"1.57717371689796e+000,9.02338201627572e-001"
24.04528869,"1.63347854759195e+000,9.26268552884721e-001"
25.17850824,"1.69485851058562e+000,9.47867878468969e-001"
26.36513477,"1.76157621528546e+000,9.66388910946989e-001"
27.60768529,"1.83382806956070e+000,9.80949378317746e-001"
28.90879541,"1.91170891176444e+000,9.90521324209112e-001"
30.27122497,"1.99516706161376e+000,9.93926445578836e-001"
31.69786385,"2.08394930156646e+000,9.89841604339745e-001"
33.19173815,"2.17753663705662e+000,9.76819919247646e-001"
34.75601657,"2.27507392480038e+000,9.53333882436709e-001"
36.39401717,"2.37529977041413e+000,9.17847256303503e-001"
38.10921436,"2.47648739498982e+000,8.68921323090035e-001"
39.9052463,"2.57641188004345e+000,8.05357436962368e-001"
41.78592262,"2.67236298231001e+000,7.26370966323884e-001"
43.75523248,"2.76122339908034e+000,6.31781518000935e-001"
45.81735306,"2.83962732313375e+000,5.22192225689651e-001"
47.97665838,"2.90420138307672e+000,3.99120363115799e-001"
50.23772863,"2.95187002974853e+000,2.65037892197142e-001"
52.60535984,"2.98018447154027e+000,1.23288975904870e-001"
55.08457407,"2.98761658903095e+000,-2.21261254191631e-002"
57.68063006,"2.97375602020475e+000,-1.66879297685227e-001"
60.39903441,"2.93936482658319e+000,-3.06702287292865e-001"
63.2455532,"2.88627656237804e+000,-4.37763393216301e-001"
66.2262243,"2.81716389987560e+000,-5.56966009156895e-001"
69.34737009,"2.73522735886218e+000,-6.62124930553546e-001"
72.61561095,"2.64386792735604e+000,-7.52009151801758e-001"
76.03787926,"2.54639792310627e+000,-8.26269876008155e-001"
79.62143411,"2.44582416039339e+000,-8.85290749261912e-001"
83.37387669,"2.34471469445270e+000,-9.30001671535138e-001"
87.30316645,"2.24514233016089e+000,-9.61691196214815e-001"
91.41763792,"2.14868777487573e+000,-9.81841030195937e-001"
95.72601846,"2.05648228066275e+000,-9.91994348289154e-001"
100.2374467,"1.96927151694399e+000,-9.93660384439863e-001"
104.961492,"1.88748667277105e+000,-9.88251939153997e-001"
109.9081748,"1.81131347339397e+000,-9.77049658875330e-001"
115.0879875,"1.74075382942101e+000,-9.61186308020842e-001"
120.5119172,"1.67567781682737e+000,-9.41644855658524e-001"
126.1914689,"1.61586562934099e+000,-9.19265344178712e-001"
132.1386896,"1.56104025442619e+000,-8.94756755078561e-001"
138.3661942,"1.51089214544481e+000,-8.68711208880995e-001"
144.887192,"1.46509731036713e+000,-8.41618738668330e-001"
151.715515,"1.42333017471901e+000,-8.13881555077387e-001"
158.8656469,"1.38527241200791e+000,-7.85827198131301e-001"
166.3527542,"1.35061873521408e+000,-7.57720292698650e-001"
174.192718,"1.31908044739612e+000,-7.29772829719877e-001"
182.4021679,"1.29038737398878e+000,-7.02153016689408e-001"
190.9985172,"1.26428865232447e+000,-6.74992808162642e-001"
200,"1.24055273504928e+000,-6.48394257426844e-001"
209.4257096,"1.21896687049230e+000,-6.22434839009657e-001"
219.2956392,"1.19933625123304e+000,-5.97171886816795e-001"
229.6307243,"1.18148296753679e+000,-5.72646281187190e-001"
240.4528869,"1.16524486192066e+000,-5.48885503689235e-001"
251.7850824,"1.15047435111228e+000,-5.25906162969477e-001"
263.6513477,"1.13703725982850e+000,-5.03716079794685e-001"
276.0768529,"1.12481169516650e+000,-4.82316006578912e-001"
289.0879541,"1.11368697927537e+000,-4.61701044117945e-001"
302.7122497,"1.10356265004884e+000,-4.41861808005342e-001"
316.9786385,"1.09434753417736e+000,-4.22785388283955e-001"
331.9173815,"1.08595889335265e+000,-4.04456138439855e-001"
347.5601657,"1.07832164188767e+000,-3.86856323591928e-001"
363.9401717,"1.07136763260769e+000,-3.69966652408039e-001"
381.0921436,"1.06503500693725e+000,-3.53766712945799e-001"
399.052463,"1.05926760469629e+000,-3.38235329276358e-001"
417.8592262,"1.05401442895618e+000,-3.23350852497242e-001"
437.5523248,"1.04922916137275e+000,-3.09091397561133e-001"
458.1735306,"1.04486972353425e+000,-2.95435035211995e-001"
479.7665838,"1.04089788015244e+000,-2.82359946791985e-001"
502.3772863,"1.03727888019694e+000,-2.69844548347464e-001"
526.0535984,"1.03398113236108e+000,-2.57867589178204e-001"
550.8457407,"1.03097591154756e+000,-2.46408229304507e-001"
576.8063006,"1.02823709338827e+000,-2.35446099530236e-001"
603.9903441,"1.02574091403221e+000,-2.24961346935743e-001"
632.455532,"1.02346575276169e+000,-2.14934668469141e-001"
662.262243,"1.02139193518269e+000,-2.05347334682301e-001"
693.4737009,"1.01950155498844e+000,-1.96181205250468e-001"
726.1561095,"1.01777831247864e+000,-1.87418737888947e-001"
760.3787926,"1.01620736820473e+000,-1.79042991718234e-001"
796.2143411,"1.01477521027778e+000,-1.71037626192629e-001"
833.7387669,"1.01346953401662e+000,-1.63386896387237e-001"
873.0316645,"1.01227913274192e+000,-1.56075645354576e-001"
914.1763792,"1.01119379867100e+000,-1.49089294191072e-001"
957.2601846,"1.01020423291493e+000,-1.42413830186342e-001"
1002.374467,"1.00930196375316e+000,-1.36035793615520e-001"
1049.61492,"1.00847927237237e+000,-1.29942263414705e-001"
1099.081748,"1.00772912538537e+000,-1.24120842070624e-001"
1150.879875,"1.00704511348579e+000,-1.18559639951854e-001"
1205.119172,"1.00642139567310e+000,-1.13247259270793e-001"
