Freq.	V(vout)
2.00000000000000e+001	1.19338242484082e+000,9.56577539080172e-001
2.09425709610180e+001	1.21485073238728e+000,1.00598503565561e+000
2.19295639228637e+001	1.23901171337639e+000,1.05831503619993e+000
2.29630724299377e+001	1.26626840415702e+000,1.11377519153393e+000
2.40452886923483e+001	1.29709752307099e+000,1.17258593712177e+000
2.51785082358834e+001	1.33206552709453e+000,1.23497838388357e+000
2.63651347711282e+001	1.37184862341383e+000,1.30119028103582e+000
2.76076852920577e+001	1.41725775571831e+000,1.37145901156691e+000
2.89087954149186e+001	1.46926982115838e+000,1.44601005193181e+000
3.02712249687242e+001	1.52906661790621e+000,1.52503853201051e+000
3.16978638492223e+001	1.59808323186007e+000,1.60868032655344e+000
3.31917381487512e+001	1.67806761871907e+000,1.69696729435600e+000
3.47560165749875e+001	1.77115279383725e+000,1.78975856012767e+000
3.63940171721997e+001	1.87994180321402e+000,1.88663570607241e+000
3.81092143592650e+001	2.00760257133516e+000,1.98674391602981e+000
3.99052462993776e+001	2.15796299431531e+000,2.08855306015175e+000
4.17859226170808e+001	2.33558298992284e+000,2.18950250576017e+000
4.37552324789911e+001	2.54575397438020e+000,2.28548295556539e+000
4.58173530553555e+001	2.79432860192901e+000,2.37010451521928e+000
4.79766583803899e+001	3.08720354831894e+000,2.43372037215886e+000
5.02377286301917e+001	3.42916026596504e+000,2.46226047308301e+000
5.26053598379077e+001	3.82164051968721e+000,2.43615592860442e+000
5.50845740667634e+001	4.25902286150085e+000,2.33010600306443e+000
5.76806300625322e+001	4.72340798794176e+000,2.11517536294559e+000
6.03990344080404e+001	5.17936052120058e+000,1.76529585065146e+000
6.32455532033677e+001	5.57265341379389e+000,1.26931793231051e+000
6.62262242965183e+001	5.83892359165475e+000,6.45425472837815e-001
6.93473700905065e+001	5.92447558858839e+000,-5.19160575859132e-002
7.26156109540204e+001	5.81022914855566e+000,-7.43132036863244e-001
7.60378792641124e+001	5.52145956489403e+000,-1.35085794344923e+000
7.96214341106996e+001	5.11502750333602e+000,-1.82574099225894e+000
8.33738766940672e+001	4.65485726093175e+000,-2.15464534275816e+000
8.73031664480334e+001	4.19266824643273e+000,-2.35182728693326e+000
9.14176379229752e+001	3.76109202482621e+000,-2.44440102182125e+000
9.57260184645279e+001	3.37587260265718e+000,-2.46104834880680e+000
1.00237446725455e+002	3.04130091377738e+000,-2.42628514581156e+000
1.04961492049955e+002	2.75525287689379e+000,-2.35882842376304e+000
1.09908174771525e+002	2.51267528614699e+000,-2.27202610877430e+000
1.15087987467432e+002	2.30762472084461e+000,-2.17497838069539e+000
