Freq.	V(vout)
2.00000000000000e+001	1.21897326548060e+000,9.50165308811847e-001
2.09425709610180e+001	1.24321169350878e+000,9.98422799762920e-001
2.19295639228637e+001	1.27046805158898e+000,1.04937444538518e+000
2.29630724299377e+001	1.30118676966231e+000,1.10317658545318e+000
2.40452886923483e+001	1.33589100335666e+000,1.15998522963491e+000
2.51785082358834e+001	1.37519883975619e+000,1.21995018960297e+000
2.63651347711282e+001	1.41984308887913e+000,1.28320611329400e+000
2.76076852920577e+001	1.47069538522919e+000,1.34985900624451e+000
2.89087954149186e+001	1.52879536773253e+000,1.41996618919075e+000
3.02712249687242e+001	1.59538564513787e+000,1.49350672337823e+000
3.16978638492223e+001	1.67195296926366e+000,1.57033801878424e+000
3.31917381487512e+001	1.76027530676220e+000,1.65013248151081e+000
3.47560165749875e+001	1.86247292692133e+000,1.73228549283886e+000
3.63940171721997e+001	1.98105850553839e+000,1.81578262661424e+000
3.81092143592650e+001	2.11897539235360e+000,1.89900989909074e+000
3.99052462993776e+001	2.27960267433082e+000,1.97948669307516e+000
4.17859226170808e+001	2.46668760864122e+000,2.05349895726249e+000
4.37552324789911e+001	2.68413677491480e+000,2.11561564292788e+000
4.58173530553555e+001	2.93555423284124e+000,2.15809548023390e+000
4.79766583803899e+001	3.22336200662539e+000,2.17025544906210e+000
5.02377286301917e+001	3.54730006057071e+000,2.13800927555712e+000
5.26053598379077e+001	3.90215159977379e+000,2.04402425351873e+000
5.50845740667634e+001	4.27482231278555e+000,1.86925871263520e+000
5.76806300625322e+001	4.64160664753581e+000,1.59681238597113e+000
6.03990344080404e+001	4.96757977544621e+000,1.21850425562297e+000
6.32455532033677e+001	5.21079530374845e+000,7.42744122886506e-001
6.62262242965183e+001	5.33263307463494e+000,1.99471987951256e-001
6.93473700905065e+001	5.31125052529387e+000,-3.63069400285895e-001
7.26156109540204e+001	5.15060402129893e+000,-8.90916593903967e-001
7.60378792641124e+001	4.87874462123727e+000,-1.34024781639164e+000
7.96214341106996e+001	4.53663763984514e+000,-1.68753946573997e+000
8.33738766940672e+001	4.16497981030261e+000,-1.92998931747570e+000
8.73031664480334e+001	3.79558123350580e+000,-2.07914529363916e+000
9.14176379229752e+001	3.44883323969407e+000,-2.15309958961734e+000
9.57260184645279e+001	3.13520537752629e+000,-2.17067252908600e+000
1.00237446725455e+002	2.85818138335890e+000,-2.14832626267889e+000
1.04961492049955e+002	2.61703605440562e+000,-2.09912751748925e+000
1.09908174771525e+002	2.40887733684212e+000,-2.03283651992388e+000
1.15087987467432e+002	2.22994367403589e+000,-1.95645192544180e+000
1.20511917214872e+002	2.07634114430402e+000,-1.87484483795561e+000
1.26191468896039e+002	1.94441658470896e+000,-1.79132339301577e+000
1.32138689601520e+002	1.83091568396048e+000,-1.70808126469638e+000
1.38366194183788e+002	1.73302372162289e+000,-1.62653303790285e+000
1.44887192014998e+002	1.64834767974753e+000,-1.54755633715831e+000
1.51715515005837e+002	1.57487287659751e+000,-1.47166295989882e+000
1.58865646944857e+002	1.51091177793933e+000,-1.39911823853618e+000
1.66352754220535e+002	1.45505374362619e+000,-1.33002358113299e+000
1.74192717991217e+002	1.40611957849615e+000,-1.26437320608966e+000
1.82402167871183e+002	1.36312218823150e+000,-1.20209294612141e+000
1.90998517204288e+002	1.32523336963641e+000,-1.14306665505865e+000
2.00000000000001e+002	1.29175619612943e+000,-1.08715406784177e+000
2.09425709610181e+002	1.26210225681643e+000,-1.03420277763507e+000
2.19295639228638e+002	1.23577298626697e+000,-9.84056170345866e-001
2.29630724299377e+002	1.21234438352622e+000,-9.36558585461171e-001
2.40452886923484e+002	1.19145450982978e+000,-8.91558579016419e-001
2.51785082358834e+002	1.17279325108211e+000,-8.48910893633729e-001
2.63651347711282e+002	1.15609392024999e+000,-8.08477553131524e-001
2.76076852920578e+002	1.14112635280435e+000,-7.70128370524617e-001
2.89087954149187e+002	1.12769121388010e+000,-7.33741068775998e-001
3.02712249687243e+002	1.11561528999118e+000,-6.99201151532179e-001
3.16978638492224e+002	1.10474758210694e+000,-6.66401618476812e-001
3.31917381487514e+002	1.09495605258599e+000,-6.35242589447444e-001
3.47560165749877e+002	1.08612490691212e+000,-6.05630881360412e-001
3.63940171721998e+002	1.07815231422683e+000,-5.77479566782131e-001
3.81092143592651e+002	1.07094848893485e+000,-5.50707533613604e-001
3.99052462993778e+002	1.06443407044026e+000,-5.25239057806175e-001
4.17859226170810e+002	1.05853874974764e+000,-5.01003396671877e-001
4.37552324789913e+002	1.05320010128798e+000,-4.77934406801069e-001
4.58173530553557e+002	1.04836258582327e+000,-4.55970188464562e-001
4.79766583803901e+002	1.04397669652099e+000,-4.35052756973164e-001
5.02377286301919e+002	1.03999822516153e+000,-4.15127740383468e-001
5.26053598379079e+002	1.03638762958053e+000,-3.96144102403923e-001
5.50845740667636e+002	1.03310948664603e+000,-3.78053889060538e-001
5.76806300625324e+002	1.03013201774547e+000,-3.60811997441488e-001
6.03990344080407e+002	1.02742667597295e+000,-3.44375964687060e-001
6.32455532033679e+002	1.02496778594195e+000,-3.28705775720664e-001
6.62262242965186e+002	1.02273222869144e+000,-3.13763687881874e-001
6.93473700905067e+002	1.02069916526830e+000,-2.99514070944497e-001
7.26156109540207e+002	1.01884979365195e+000,-2.85923261173593e-001
7.60378792641127e+002	1.01716713448968e+000,-2.72959427893511e-001
7.96214341106999e+002	1.01563584176552e+000,-2.60592451537377e-001
8.33738766940676e+002	1.01424203516581e+000,-2.48793811902942e-001
8.73031664480337e+002	1.01297315133024e+000,-2.37536485714372e-001
9.14176379229756e+002	1.01181781160926e+000,-2.26794852524108e-001
9.57260184645283e+002	1.01076570427699e+000,-2.16544608159893e-001
1.00237446725455e+003	1.00980747943584e+000,-2.06762684973000e-001
1.04961492049955e+003	1.00893465509830e+000,-1.97427178261933e-001
1.09908174771526e+003	1.00813953311695e+000,-1.88517278227664e-001
1.15087987467432e+003	1.00741512383911e+000,-1.80013206982039e-001
1.20511917214872e+003	1.00675507847063e+000,-1.71896160125470e-001
1.26191468896040e+003	1.00615362830229e+000,-1.64148252487394e-001
1.32138689601520e+003	1.00560553002640e+000,-1.56752467606566e-001
1.38366194183788e+003	1.00510601648671e+000,-1.49692610681996e-001
1.44887192014999e+003	1.00465075227419e+000,-1.42953264645257e-001
1.51715515005838e+003	1.00423579365798e+000,-1.36519749104991e-001
1.58865646944857e+003	1.00385755239296e+000,-1.30378081925301e-001
1.66352754220535e+003	1.00351276300643e+000,-1.24514943214308e-001
1.74192717991217e+003	1.00319845320536e+000,-1.18917641517328e-001
1.82402167871183e+003	1.00291191708897e+000,-1.13574082061859e-001
1.90998517204289e+003	1.00265069088869e+000,-1.08472736897056e-001
2.00000000000002e+003	1.00241253097781e+000,-1.03602616761236e-001
2.09425709610182e+003	1.00219539393430e+000,-9.89532445664736e-002
2.19295639228639e+003	1.00199741845231e+000,-9.45146303802176e-002
2.29630724299378e+003	1.00181690892629e+000,-9.02772478102634e-002
2.40452886923484e+003	1.00165232054414e+000,-8.62320116611954e-002
2.51785082358835e+003	1.00150224574796e+000,-8.23702568277440e-002
2.63651347711284e+003	1.00136540193154e+000,-7.86837183022726e-002
2.76076852920579e+003	1.00124062025782e+000,-7.51645122250011e-002
2.89087954149188e+003	1.00112683549258e+000,-7.18051179569557e-002
3.02712249687244e+003	1.00102307675775e+000,-6.85983610478615e-002
3.16978638492225e+003	1.00092845912107e+000,-6.55373970917026e-002
3.31917381487515e+003	1.00084217594316e+000,-6.26156964049187e-002
3.47560165749878e+003	1.00076349191302e+000,-5.98270294681242e-002
3.63940171722000e+003	1.00069173670894e+000,-5.71654530917840e-002
3.81092143592653e+003	1.00062629922715e+000,-5.46252972844741e-002
3.99052462993779e+003	1.00056662232721e+000,-5.22011527536961e-002
4.17859226170812e+003	1.00051219804620e+000,-4.98878590246932e-002
4.37552324789914e+003	1.00046256324049e+000,-4.76804931449806e-002
4.58173530553559e+003	1.00041729561534e+000,-4.55743589354825e-002
4.79766583803902e+003	1.00037601010782e+000,-4.35649767496216e-002
5.02377286301921e+003	1.00033835559140e+000,-4.16480737505935e-002
5.26053598379081e+003	1.00030401187294e+000,-3.98195746363399e-002
5.50845740667638e+003	1.00027268695610e+000,-3.80755928201779e-002
5.76806300625326e+003	1.00024411454715e+000,-3.64124220329813e-002
6.03990344080409e+003	1.00021805178174e+000,-3.48265283250839e-002
6.32455532033682e+003	1.00019427715246e+000,-3.33145424551731e-002
6.62262242965188e+003	1.00017258861967e+000,-3.18732526382064e-002
6.93473700905070e+003	1.00015280188900e+000,-3.04995976487135e-002
7.26156109540210e+003	1.00013474884080e+000,-2.91906602449217e-002
7.60378792641130e+003	1.00011827609785e+000,-2.79436609157528e-002
7.96214341107002e+003	1.00010324371909e+000,-2.67559519277256e-002
8.33738766940679e+003	1.00008952400815e+000,-2.56250116544834e-002
8.73031664480340e+003	1.00007700042642e+000,-2.45484391844002e-002
9.14176379229759e+003	1.00006556660130e+000,-2.35239491901211e-002
9.57260184645286e+003	1.00005512542118e+000,-2.25493670473043e-002
1.00237446725455e+004	1.00004558820938e+000,-2.16226241911954e-002
1.04961492049956e+004	1.00003687396995e+000,-2.07417537021684e-002
1.09908174771526e+004	1.00002890869894e+000,-1.99048861146593e-002
1.15087987467433e+004	1.00002162475521e+000,-1.91102454298289e-002
1.20511917214873e+004	1.00001496028544e+000,-1.83561453309267e-002
1.26191468896040e+004	1.00000885869831e+000,-1.76409855937436e-002
1.32138689601521e+004	1.00000326818364e+000,-1.69632486775981e-002
1.38366194183789e+004	9.99998141272034e-001,-1.63214964953795e-002
1.44887192015000e+004	9.99993434431544e-001,-1.57143673543487e-002
1.51715515005838e+004	9.99989107697810e-001,-1.51405730571241e-002
1.58865646944858e+004	9.99985124334545e-001,-1.45988961647845e-002
1.66352754220536e+004	9.99981450521440e-001,-1.40881874049228e-002
1.74192717991218e+004	9.99978055066884e-001,-1.36073632291982e-002
1.82402167871184e+004	9.99974909143035e-001,-1.31554035110639e-002
1.90998517204289e+004	9.99971986040959e-001,-1.27313493753718e-002
2.00000000000000e+004	9.99969260943798e-001,-1.23343011622978e-002
